"","host_acceptance_rate","host_identity_verified","property_type","host_response_time","number_of_reviews","review_scores_cleanliness","availability_365","review_scores_location","review_scores_value","bathrooms_text","price","neighbourhood_cleansed","room_type","accommodates","beds","minimum_nights","maximum_nights","has_availability","review_scores_checkin","review_scores_communication"
"14448","100%",TRUE,"Entire rental unit","within an hour",35,4.91,58,4.91,4.77,2,3281,"Cuauhtémoc","Entire home/apt",5,4,3,31,TRUE,4.77,4.77
"14449","0%",TRUE,"Entire condo","within an hour",2,5,301,5,5,2,1100,"Benito Juárez","Entire home/apt",4,3,2,365,TRUE,5,5
"14450","99%",TRUE,"Private room in rental unit","within a few hours",62,4.73,259,4.85,4.76,1,500,"Miguel Hidalgo","Private room",2,1,1,60,TRUE,4.76,4.76
"14451","100%",TRUE,"Entire rental unit","within an hour",66,4.76,310,4.85,4.86,2,2640,"Cuauhtémoc","Entire home/apt",4,2,1,1125,TRUE,4.86,4.86
"14452","11%",TRUE,"Private room in home","within an hour",1,5,362,5,5,1.5,400,"Cuauhtémoc","Private room",1,1,1,30,TRUE,5,5
"14453","99%",TRUE,"Entire loft","within an hour",82,4.94,59,4.87,4.94,1,493,"Venustiano Carranza","Entire home/apt",2,1,1,28,TRUE,4.94,4.94
"14454","90%",FALSE,"Entire condo","N/A",1,5,241,5,5,1,1300,"Cuauhtémoc","Entire home/apt",2,1,1,365,TRUE,5,5
"14455","97%",TRUE,"Private room in condo","within an hour",15,5,354,5,4.87,1,575,"Benito Juárez","Private room",2,1,1,80,TRUE,4.87,4.87
"14456","N/A",TRUE,"Entire loft","N/A",17,4.88,79,5,4.65,1,1228,"Benito Juárez","Entire home/apt",4,2,2,365,TRUE,4.65,4.65
"14457","100%",TRUE,"Entire condo","within an hour",9,4.89,352,5,4.78,2,1600,"Cuauhtémoc","Entire home/apt",4,4,3,1125,TRUE,4.78,4.78
"14458","97%",TRUE,"Entire condo","within an hour",27,4.93,285,5,4.81,2,1500,"Cuauhtémoc","Entire home/apt",6,2,3,365,TRUE,4.81,4.81
"14459","100%",TRUE,"Entire rental unit","within an hour",9,5,100,5,5,3.5,3333,"Cuajimalpa de Morelos","Entire home/apt",8,3,2,60,TRUE,5,5
"14460","100%",TRUE,"Entire condo","within an hour",35,4.86,58,4.89,4.71,1,1657,"Miguel Hidalgo","Entire home/apt",4,2,1,365,TRUE,4.71,4.71
"14461","100%",FALSE,"Entire condo","within an hour",11,4.27,347,4.64,3.82,2,1019,"Benito Juárez","Entire home/apt",4,3,2,365,TRUE,3.82,3.82
