,host_acceptance_rate,host_identity_verified,property_type,host_response_time,number_of_reviews,review_scores_cleanliness,availability_365,review_scores_location,review_scores_value,bathrooms_text,price,neighbourhood_cleansed,room_type,accommodates,beds,minimum_nights,maximum_nights,has_availability,review_scores_checkin,review_scores_communication
4806,100%,FALSE,Entire condo,within an hour,20,4.8,363,4.75,4.9,2,450.00,Recreio dos Bandeirantes,Entire home/apt,6,3,2,365,TRUE,4.9,4.9
4807,75%,TRUE,Entire rental unit,within a day,10,5,53,5,4.8,1,152.00,Barra da Tijuca,Entire home/apt,3,2,2,365,TRUE,4.8,4.8
4808,100%,TRUE,Entire rental unit,N/A,4,5,0,5,4.75,2,2050.00,Jacarepaguá,Entire home/apt,6,2,1,25,TRUE,4.75,4.75
4809,90%,FALSE,Private room in rental unit,within a day,21,4.86,36,5,4.95,1,90.00,Flamengo,Private room,1,3,3,1125,TRUE,4.95,4.95
4810,100%,TRUE,Entire rental unit,within an hour,6,4.83,176,4.83,5,2,169.00,Copacabana,Entire home/apt,2,1,3,60,TRUE,5,5
4811,100%,TRUE,Entire home,N/A,0,4.73,86,4.86,4.68,2.5,920.00,Barra da Tijuca,Entire home/apt,8,4,1,30,TRUE,4.68,4.68
4812,91%,TRUE,Entire rental unit,within an hour,3,5,298,4.67,4.67,2,397.00,Barra da Tijuca,Entire home/apt,4,2,1,1125,TRUE,4.67,4.67
4813,76%,FALSE,Entire home,within an hour,3,5,268,4.67,4.33,1,52.00,Copacabana,Entire home/apt,3,1,2,365,TRUE,4.33,4.33
4814,69%,FALSE,Entire guest suite,within a few hours,8,4.25,358,5,4,1,245.00,Botafogo,Entire home/apt,2,2,2,30,TRUE,4,4
4815,60%,TRUE,Entire rental unit,within a few hours,1,5,61,5,5,1.5,270.00,Copacabana,Entire home/apt,3,2,7,1125,TRUE,5,5
4816,61%,TRUE,Entire home,within an hour,4,4.75,268,4.75,4.75,2,420.00,Botafogo,Entire home/apt,9,4,3,365,TRUE,4.75,4.75
4817,100%,TRUE,Private room in rental unit,within a few hours,4,5,89,5,5,2,163.00,Barra da Tijuca,Private room,3,1,2,30,TRUE,5,5
4818,77%,TRUE,Entire rental unit,within a day,8,4.38,75,4.88,4.5,2.5,420.00,Copacabana,Entire home/apt,6,3,5,30,TRUE,4.5,4.5
4819,100%,TRUE,Entire rental unit,N/A,2,5,365,5,5,2,340.00,Copacabana,Entire home/apt,5,4,1,365,TRUE,5,5
4820,100%,TRUE,Entire condo,within a day,10,4.9,364,5,4.8,2,360.00,Jacarepaguá,Entire home/apt,4,2,3,365,TRUE,4.8,4.8
4821,N/A,FALSE,Private room in rental unit,N/A,0,4.73,0,4.86,4.68,1,1000.00,Tijuca,Private room,4,1,7,40,FALSE,4.68,4.68
4822,67%,TRUE,Entire rental unit,within a day,1,1,352,1,1,1,250.00,Copacabana,Entire home/apt,3,2,3,90,TRUE,1,1
4823,100%,TRUE,Private room in rental unit,within an hour,23,4.57,292,4.87,4.91,1,53.00,Flamengo,Private room,3,2,3,90,TRUE,4.91,4.91
4824,98%,TRUE,Entire rental unit,within an hour,15,4.93,80,4.8,4.8,1,270.00,Copacabana,Entire home/apt,3,1,4,365,TRUE,4.8,4.8
4825,20%,TRUE,Entire rental unit,within a day,6,5,365,5,5,4.5,1329.00,Leblon,Entire home/apt,6,4,1,1125,TRUE,5,5
4826,0%,FALSE,Entire rental unit,within a day,4,4.75,179,4.75,4.75,1,239.00,Copacabana,Entire home/apt,4,2,2,1125,TRUE,4.75,4.75
4827,37%,TRUE,Entire rental unit,within a day,9,4.11,361,5,4.22,1,185.00,Copacabana,Entire home/apt,5,2,1,2,TRUE,4.22,4.22
4828,67%,TRUE,Private room in rental unit,N/A,3,4.67,140,5,5,1,140.00,Copacabana,Private room,2,2,3,15,TRUE,5,5
4829,0%,TRUE,Entire rental unit,N/A,4,5,178,5,5,1,1000.00,Copacabana,Entire home/apt,4,2,2,1125,TRUE,5,5
4830,100%,TRUE,Entire rental unit,within an hour,9,4.78,65,4.89,4.67,1.5,345.00,Copacabana,Entire home/apt,6,4,2,90,TRUE,4.67,4.67
4831,98%,TRUE,Entire condo,within a few hours,80,4.71,61,4.94,4.69,1,349.00,Copacabana,Entire home/apt,4,2,3,150,TRUE,4.69,4.69
4832,N/A,TRUE,Entire rental unit,N/A,10,4.4,325,4.9,4.2,1,165.00,Ipanema,Entire home/apt,2,1,3,90,TRUE,4.2,4.2
4833,100%,TRUE,Entire rental unit,within an hour,18,4.72,2,4.94,4.89,2,158.00,Copacabana,Entire home/apt,4,3,2,1125,TRUE,4.89,4.89
4834,82%,TRUE,Entire rental unit,within an hour,5,5,95,5,5,1,291.00,Copacabana,Entire home/apt,3,3,3,12,TRUE,5,5
4835,99%,TRUE,Entire rental unit,within a day,79,3.84,154,4.87,4.25,2,183.00,Copacabana,Entire home/apt,5,3,2,1125,TRUE,4.25,4.25
4836,100%,TRUE,Entire rental unit,within an hour,169,4.76,275,4.88,4.7,3,700.00,Copacabana,Entire home/apt,10,5,2,60,TRUE,4.7,4.7
4837,96%,TRUE,Entire rental unit,within an hour,46,4.91,157,5,4.91,1,139.00,Copacabana,Entire home/apt,4,3,5,30,TRUE,4.91,4.91
4838,87%,TRUE,Entire rental unit,within a few hours,0,4.73,34,4.86,4.68,1,282.00,Copacabana,Entire home/apt,7,4,2,365,TRUE,4.68,4.68
4839,98%,FALSE,Entire rental unit,within an hour,3,5,140,5,5,1,197.00,Copacabana,Entire home/apt,2,1,2,28,TRUE,5,5
4840,100%,TRUE,Entire rental unit,within an hour,46,4.96,230,5,4.83,1,171.00,Copacabana,Entire home/apt,3,2,5,320,TRUE,4.83,4.83
4841,90%,TRUE,Entire rental unit,within an hour,5,5,144,4.8,5,1,236.00,Copacabana,Entire home/apt,4,2,2,1125,TRUE,5,5
4842,96%,TRUE,Entire rental unit,within an hour,55,4.67,86,4.93,4.6,1,290.00,Copacabana,Entire home/apt,2,2,2,1125,TRUE,4.6,4.6
4843,85%,TRUE,Entire rental unit,within an hour,116,4.45,359,4.96,4.57,2,480.00,Ipanema,Entire home/apt,6,4,3,1125,TRUE,4.57,4.57
4844,86%,TRUE,Private room in rental unit,within an hour,15,4.87,356,4.93,4.8,1,75.00,Copacabana,Private room,1,1,3,365,TRUE,4.8,4.8
4845,98%,TRUE,Entire rental unit,within an hour,3,4.67,338,5,4.33,1,276.00,Copacabana,Entire home/apt,2,1,1,365,TRUE,4.33,4.33
4846,13%,TRUE,Entire rental unit,N/A,0,4.73,357,4.86,4.68,1,264.00,Copacabana,Entire home/apt,2,NA,2,1125,TRUE,4.68,4.68
4847,100%,FALSE,Entire rental unit,N/A,7,4.71,162,4.71,4.29,1,757.00,Copacabana,Entire home/apt,5,3,3,1125,TRUE,4.29,4.29
4848,43%,TRUE,Entire rental unit,within an hour,0,4.73,260,4.86,4.68,1,320.00,Copacabana,Entire home/apt,4,4,5,90,TRUE,4.68,4.68
4849,54%,TRUE,Entire rental unit,within a day,1,4,180,5,5,1,372.00,Copacabana,Entire home/apt,4,3,4,1125,TRUE,5,5
4850,100%,TRUE,Entire rental unit,within an hour,31,4.61,197,5,4.87,1,298.00,Copacabana,Entire home/apt,3,2,1,365,TRUE,4.87,4.87
4851,20%,TRUE,Entire rental unit,N/A,39,4.59,180,4.57,4.49,1,300.00,Copacabana,Entire home/apt,4,1,3,1125,TRUE,4.49,4.49
4852,97%,TRUE,Entire condo,within an hour,13,4.92,72,4.92,4.92,3,1047.00,Copacabana,Entire home/apt,10,7,4,1125,TRUE,4.92,4.92
4853,99%,TRUE,Entire rental unit,within an hour,105,4.81,137,4.94,4.87,1,154.00,Copacabana,Entire home/apt,4,3,1,14,TRUE,4.87,4.87
4854,100%,TRUE,Entire rental unit,within an hour,29,4.83,182,4.93,4.86,1,312.00,Copacabana,Entire home/apt,3,2,1,365,TRUE,4.86,4.86
4855,100%,TRUE,Entire rental unit,within an hour,44,5,48,5,4.91,1,443.00,Copacabana,Entire home/apt,2,1,2,1125,TRUE,4.91,4.91
4856,54%,TRUE,Entire rental unit,within a day,1,5,178,5,5,1,300.00,Copacabana,Entire home/apt,3,1,4,1125,TRUE,5,5
4857,9%,TRUE,Entire rental unit,within a day,4,4.5,288,5,4.5,2.5,500.00,Copacabana,Entire home/apt,10,5,1,1125,TRUE,4.5,4.5
4858,N/A,TRUE,Entire rental unit,N/A,28,5,121,4.96,4.89,1,200.00,Copacabana,Entire home/apt,3,2,3,120,TRUE,4.89,4.89
4859,77%,TRUE,Entire rental unit,within a day,1,5,164,5,5,1,350.00,Copacabana,Entire home/apt,4,3,3,90,TRUE,5,5
4860,95%,TRUE,Entire rental unit,within an hour,19,4.53,357,4.89,4.68,1,214.00,Copacabana,Entire home/apt,4,2,1,365,TRUE,4.68,4.68
4861,98%,TRUE,Entire rental unit,within an hour,49,4.39,278,4.86,4.71,1.5,243.00,Copacabana,Entire home/apt,4,3,2,60,TRUE,4.71,4.71
4862,98%,TRUE,Entire rental unit,within an hour,10,4.9,83,5,4.6,1.5,300.00,Copacabana,Entire home/apt,5,1,3,365,TRUE,4.6,4.6
4863,100%,TRUE,Entire rental unit,within an hour,27,4.7,57,4.78,4.59,1,203.00,Copacabana,Entire home/apt,3,1,1,90,TRUE,4.59,4.59
4864,83%,TRUE,Entire rental unit,within an hour,13,4.08,81,4.77,3.92,2,360.00,Copacabana,Entire home/apt,5,3,2,20,TRUE,3.92,3.92
4865,98%,TRUE,Entire rental unit,within an hour,4,5,90,5,4.75,2.5,600.00,Copacabana,Entire home/apt,6,8,2,90,TRUE,4.75,4.75
4866,63%,TRUE,Entire rental unit,within an hour,156,4.46,292,4.83,4.55,1,140.00,Copacabana,Entire home/apt,2,1,2,180,TRUE,4.55,4.55
4867,47%,TRUE,Entire rental unit,within a few hours,0,4.73,365,4.86,4.68,2.5,900.00,Copacabana,Entire home/apt,12,8,3,365,TRUE,4.68,4.68
4868,63%,TRUE,Private room in rental unit,within an hour,41,4.71,235,4.92,4.51,1,250.00,Copacabana,Private room,4,2,2,90,TRUE,4.51,4.51
4869,63%,TRUE,Private room in rental unit,within an hour,5,5,234,5,4.8,1,200.00,Copacabana,Private room,2,2,2,90,TRUE,4.8,4.8
4870,N/A,TRUE,Private room in rental unit,N/A,52,4.83,170,4.98,4.75,1.5,149.00,Copacabana,Private room,2,1,2,30,TRUE,4.75,4.75
4871,92%,TRUE,Entire rental unit,within a few hours,22,4.82,79,5,4.64,1,200.00,Copacabana,Entire home/apt,4,2,4,360,TRUE,4.64,4.64
4872,74%,TRUE,Entire loft,within a few hours,18,4.94,33,5,4.89,1,250.00,Copacabana,Entire home/apt,4,2,2,1125,TRUE,4.89,4.89
4873,67%,TRUE,Entire loft,a few days or more,1,5,179,5,5,1,500.00,Copacabana,Entire home/apt,5,4,2,1125,TRUE,5,5
4874,92%,TRUE,Entire rental unit,within an hour,54,4.63,147,4.96,4.7,1,195.00,Copacabana,Entire home/apt,4,3,4,1125,TRUE,4.7,4.7
4875,N/A,TRUE,Entire rental unit,N/A,12,4.92,319,4.58,4.42,1,209.00,Barra da Tijuca,Entire home/apt,2,1,1,1125,TRUE,4.42,4.42
4876,100%,TRUE,Entire rental unit,within an hour,0,4.73,331,4.86,4.68,1,275.00,Copacabana,Entire home/apt,4,2,2,365,TRUE,4.68,4.68
4877,59%,TRUE,Entire rental unit,within an hour,0,4.73,90,4.86,4.68,2,557.00,Copacabana,Entire home/apt,6,3,3,365,TRUE,4.68,4.68
4878,79%,TRUE,Entire condo,within an hour,37,4.73,182,5,4.73,1,311.00,Barra da Tijuca,Entire home/apt,2,1,2,90,TRUE,4.73,4.73
4879,96%,TRUE,Entire rental unit,within an hour,57,4.6,74,4.98,4.63,1,355.00,Barra da Tijuca,Entire home/apt,3,2,3,90,TRUE,4.63,4.63
4880,92%,TRUE,Entire rental unit,within an hour,0,4.73,181,4.86,4.68,2,1400.00,Copacabana,Entire home/apt,6,3,4,365,TRUE,4.68,4.68
4881,69%,TRUE,Private room in serviced apartment,within an hour,0,4.73,0,4.86,4.68,1,350.00,Barra da Tijuca,Private room,2,1,3,365,TRUE,4.68,4.68
4882,82%,TRUE,Entire guest suite,within a day,1,4,352,4,5,1,300.00,Santa Teresa,Entire home/apt,3,1,3,365,TRUE,5,5
4883,99%,TRUE,Entire rental unit,within an hour,11,4.27,357,4.73,4.18,1,549.00,Copacabana,Entire home/apt,8,5,2,1125,TRUE,4.18,4.18
4884,67%,FALSE,Private room in home,N/A,3,5,180,5,5,1,150.00,Botafogo,Private room,4,1,5,12,TRUE,5,5
4885,99%,TRUE,Entire rental unit,within an hour,141,4.67,150,4.62,4.62,1,166.00,Camorim,Entire home/apt,2,1,1,1125,TRUE,4.62,4.62
4886,100%,TRUE,Entire rental unit,within an hour,2,5,127,5,5,1,120.00,Camorim,Entire home/apt,2,1,1,365,TRUE,5,5
4887,50%,TRUE,Entire rental unit,within a few hours,0,4.73,365,4.86,4.68,1,500.00,Laranjeiras,Entire home/apt,2,1,5,365,TRUE,4.68,4.68
4888,N/A,TRUE,Entire rental unit,N/A,0,4.73,365,4.86,4.68,1,486.00,Barra da Tijuca,Entire home/apt,5,3,1,365,TRUE,4.68,4.68
4889,N/A,TRUE,Entire rental unit,N/A,0,4.73,358,4.86,4.68,1,400.00,Botafogo,Entire home/apt,2,1,30,1125,TRUE,4.68,4.68
4890,40%,FALSE,Entire rental unit,within a day,0,4.73,364,4.86,4.68,1,400.00,Jacarepaguá,Entire home/apt,2,1,3,90,TRUE,4.68,4.68
4891,97%,TRUE,Entire home,within an hour,6,4.83,89,5,4.83,5.5,4000.00,Jardim Botânico,Entire home/apt,11,9,3,90,TRUE,4.83,4.83
4892,99%,FALSE,Entire condo,within an hour,9,5,354,5,5,2.5,608.00,Flamengo,Entire home/apt,4,2,2,365,TRUE,5,5
4893,33%,TRUE,Entire serviced apartment,a few days or more,0,4.73,364,4.86,4.68,1,150.00,Barra da Tijuca,Entire home/apt,2,1,90,365,TRUE,4.68,4.68
4894,83%,TRUE,Entire rental unit,within an hour,1,4,170,5,5,2,197.00,Flamengo,Entire home/apt,4,4,1,30,TRUE,5,5
4895,58%,TRUE,Entire loft,within an hour,1,5,34,5,5,1,220.00,Copacabana,Entire home/apt,4,2,3,30,TRUE,5,5
4896,98%,TRUE,Entire loft,within a day,109,4.66,78,4.93,4.67,1,321.00,Barra da Tijuca,Entire home/apt,8,4,2,1125,TRUE,4.67,4.67
4897,67%,TRUE,Private room in rental unit,N/A,0,4.73,0,4.86,4.68,1,350.00,Copacabana,Private room,2,2,3,365,TRUE,4.68,4.68
4898,100%,TRUE,Entire home,within an hour,24,4.77,89,4.91,4.09,1,1195.00,Urca,Entire home/apt,2,1,2,60,TRUE,4.09,4.09
4899,66%,TRUE,Room in aparthotel,within an hour,1,5,181,5,5,2.5,1487.00,Barra da Tijuca,Entire home/apt,8,NA,2,365,TRUE,5,5
4900,N/A,FALSE,Entire condo,N/A,0,4.73,365,4.86,4.68,2,1800.00,Jacarepaguá,Entire home/apt,4,3,5,5,TRUE,4.68,4.68
4901,100%,TRUE,Entire rental unit,within an hour,165,4.83,147,4.94,4.78,1,107.00,Botafogo,Entire home/apt,2,1,2,1125,TRUE,4.78,4.78
4902,99%,TRUE,Entire rental unit,within an hour,9,4.89,180,4.67,4.67,1,220.00,Jacarepaguá,Entire home/apt,2,4,3,1125,TRUE,4.67,4.67
4903,95%,TRUE,Entire rental unit,within an hour,12,4.83,41,5,5,1,262.00,Leme,Entire home/apt,2,1,3,365,TRUE,5,5
4904,100%,TRUE,Entire rental unit,N/A,1,5,362,5,5,1,750.00,Flamengo,Entire home/apt,4,2,2,15,TRUE,5,5
4905,100%,FALSE,Entire rental unit,within an hour,18,4.72,323,5,4.83,2,344.00,Copacabana,Entire home/apt,5,3,3,90,TRUE,4.83,4.83
4906,100%,FALSE,Entire rental unit,within an hour,22,4.59,327,4.68,4.59,1,160.00,Laranjeiras,Entire home/apt,2,1,2,15,TRUE,4.59,4.59
4907,86%,TRUE,Private room in home,within a few hours,27,4.93,358,4.85,4.85,1.5,205.00,Humaitá,Private room,2,1,2,90,TRUE,4.85,4.85
4908,100%,TRUE,Entire rental unit,within a day,0,4.73,365,4.86,4.68,2,623.00,Barra da Tijuca,Entire home/apt,4,2,1,365,TRUE,4.68,4.68
4909,100%,TRUE,Entire condo,within a few hours,2,5,32,5,4.5,1,236.00,Barra da Tijuca,Entire home/apt,2,3,2,60,TRUE,4.5,4.5
4910,96%,TRUE,Private room in rental unit,within a few hours,2,5,76,5,5,1,84.00,Copacabana,Private room,1,1,1,7,TRUE,5,5
4911,50%,TRUE,Entire rental unit,within a few hours,4,3.5,364,5,5,2,500.00,Humaitá,Entire home/apt,4,1,4,1125,TRUE,5,5
4912,97%,TRUE,Private room in rental unit,within a day,22,5,31,4.86,5,1,70.00,Botafogo,Private room,1,2,1,1125,TRUE,5,5
4913,0%,FALSE,Entire rental unit,within a day,5,4.4,349,4.8,4.6,1,280.00,Laranjeiras,Entire home/apt,3,1,3,15,TRUE,4.6,4.6
4914,100%,TRUE,Private room in rental unit,within a day,0,4.73,364,4.86,4.68,1,150.00,Copacabana,Private room,2,2,1,1125,TRUE,4.68,4.68
4915,100%,TRUE,Private room in rental unit,within an hour,11,5,191,5,5,1,629.00,Botafogo,Private room,2,1,3,365,TRUE,5,5
4916,100%,TRUE,Entire rental unit,within an hour,13,4.69,255,4.38,4.69,1,130.00,Santa Teresa,Entire home/apt,4,2,3,365,TRUE,4.69,4.69
4917,100%,TRUE,Entire rental unit,within a day,6,5,261,4.83,5,1,210.00,Centro,Entire home/apt,4,3,2,1125,TRUE,5,5
4918,100%,FALSE,Entire rental unit,N/A,2,5,365,4.5,5,1,215.00,Centro,Entire home/apt,2,2,2,1125,TRUE,5,5
4919,96%,TRUE,Entire rental unit,within an hour,39,4.87,360,4.85,4.77,2,582.00,Botafogo,Entire home/apt,4,3,2,1125,TRUE,4.77,4.77
4920,77%,TRUE,Entire rental unit,within a day,10,4.8,145,5,4.9,3,700.00,Copacabana,Entire home/apt,6,6,3,60,TRUE,4.9,4.9
4921,100%,TRUE,Entire rental unit,within an hour,8,4.88,76,4.88,4.75,3,457.00,Leblon,Entire home/apt,6,5,2,365,TRUE,4.75,4.75
4922,0%,FALSE,Entire rental unit,a few days or more,0,4.73,170,4.86,4.68,2,3000.00,Jacarepaguá,Entire home/apt,4,3,3,20,TRUE,4.68,4.68
4923,96%,TRUE,Entire rental unit,within an hour,3,5,365,5,4.33,1,144.00,Botafogo,Entire home/apt,4,1,2,365,TRUE,4.33,4.33
4924,84%,TRUE,Entire condo,within an hour,21,5,293,5,4.95,1,325.00,Ipanema,Entire home/apt,2,1,2,30,TRUE,4.95,4.95
4925,96%,TRUE,Entire rental unit,within an hour,0,4.73,5,4.86,4.68,2,640.00,Ipanema,Entire home/apt,4,2,3,1125,TRUE,4.68,4.68
4926,75%,TRUE,Entire rental unit,within a few hours,12,4.67,32,4.92,4.67,2,538.00,Botafogo,Entire home/apt,2,1,10,365,TRUE,4.67,4.67
4927,62%,TRUE,Entire rental unit,within a day,10,4.7,116,4.6,4.4,2,350.00,Botafogo,Entire home/apt,6,2,1,1125,TRUE,4.4,4.4
4928,100%,TRUE,Entire rental unit,within an hour,31,4.84,215,4.87,4.74,2,445.00,Copacabana,Entire home/apt,4,2,1,365,TRUE,4.74,4.74
4929,N/A,TRUE,Entire rental unit,within a few hours,55,4.5,1,4.98,4.9,2.5,640.00,Barra da Tijuca,Entire home/apt,7,3,1,1125,TRUE,4.9,4.9
4930,100%,TRUE,Entire rental unit,within an hour,9,4.78,176,4.56,4.67,1,478.00,Centro,Entire home/apt,4,3,1,1125,TRUE,4.67,4.67
4931,98%,TRUE,Entire rental unit,within an hour,18,5,126,5,4.83,1,372.00,Copacabana,Entire home/apt,4,2,2,60,TRUE,4.83,4.83
4932,91%,TRUE,Entire rental unit,within a few hours,12,4.92,17,4.92,4.67,1,581.00,Barra da Tijuca,Entire home/apt,4,2,2,365,TRUE,4.67,4.67
4933,60%,TRUE,Entire rental unit,within a day,2,5,84,5,4.5,1,200.00,Copacabana,Entire home/apt,4,3,2,20,TRUE,4.5,4.5
4934,100%,TRUE,Entire serviced apartment,N/A,7,5,199,5,5,1,465.00,Barra da Tijuca,Entire home/apt,2,1,2,29,TRUE,5,5
4935,100%,TRUE,Entire rental unit,within an hour,6,4.67,0,5,4.83,1,750.00,Ipanema,Entire home/apt,4,4,7,30,TRUE,4.83,4.83
4936,100%,TRUE,Entire rental unit,N/A,11,4.45,364,4.73,4.55,1,300.00,Centro,Entire home/apt,3,1,4,30,TRUE,4.55,4.55
4937,100%,FALSE,Entire home,within an hour,0,4.73,365,4.86,4.68,3,1750.00,Camorim,Entire home/apt,16,1,1,365,TRUE,4.68,4.68
4938,100%,TRUE,Entire rental unit,within a few hours,65,4.56,124,4.98,4.8,1,197.00,Leblon,Entire home/apt,4,3,4,1125,TRUE,4.8,4.8
4939,41%,TRUE,Private room in rental unit,within a few hours,2,5,361,5,5,1,264.00,Copacabana,Private room,6,3,3,1125,TRUE,5,5
4940,81%,FALSE,Entire vacation home,within an hour,7,5,364,5,4.86,1,490.00,Barra da Tijuca,Entire home/apt,7,6,2,1125,TRUE,4.86,4.86
4941,95%,TRUE,Entire rental unit,within an hour,13,4.92,180,5,4.92,1,216.00,Copacabana,Entire home/apt,5,3,5,1125,TRUE,4.92,4.92
4942,91%,TRUE,Entire rental unit,within an hour,1,5,284,5,5,2.5,475.00,Jacarepaguá,Entire home/apt,6,5,1,1125,TRUE,5,5
4943,0%,FALSE,Entire rental unit,N/A,6,4.83,358,4.83,4.83,2,699.00,Camorim,Entire home/apt,4,2,3,15,TRUE,4.83,4.83
4944,81%,FALSE,Private room in home,N/A,4,4.75,299,5,5,1,146.00,Santa Teresa,Private room,2,2,1,1125,TRUE,5,5
4945,N/A,TRUE,Entire home,N/A,0,4.73,146,4.86,4.68,4,1100.00,Itanhangá,Entire home/apt,8,4,4,365,TRUE,4.68,4.68
4946,N/A,FALSE,Entire home,a few days or more,1,5,365,5,5,1,120.00,Taquara,Entire home/apt,2,1,1,15,TRUE,5,5
4947,97%,TRUE,Entire home,within an hour,31,4.68,331,4.81,4.77,2,814.00,Recreio dos Bandeirantes,Entire home/apt,10,5,2,1125,TRUE,4.77,4.77
4948,100%,TRUE,Entire rental unit,N/A,0,4.73,364,4.86,4.68,1,1000.00,São Cristóvão,Entire home/apt,5,1,1,365,TRUE,4.68,4.68
4949,0%,TRUE,Entire condo,N/A,0,4.73,173,4.86,4.68,2,1000.00,Recreio dos Bandeirantes,Entire home/apt,4,2,60,1125,TRUE,4.68,4.68
4950,N/A,TRUE,Entire place,N/A,0,4.73,364,4.86,4.68,1,180.00,Bonsucesso,Entire home/apt,2,1,1,365,TRUE,4.68,4.68
4951,100%,TRUE,Room in hotel,within a few hours,0,4.73,22,4.86,4.68,1,300.00,São Conrado,Private room,4,2,3,7,TRUE,4.68,4.68
4952,100%,TRUE,Entire rental unit,within an hour,11,4.73,187,4.91,4.91,1,298.00,Copacabana,Entire home/apt,4,3,1,365,TRUE,4.91,4.91
4953,100%,TRUE,Private room in home,within an hour,6,4.83,30,5,5,1,89.00,Botafogo,Private room,2,1,2,365,TRUE,5,5
4954,100%,TRUE,Entire rental unit,N/A,2,5,365,5,5,2,609.00,Itanhangá,Entire home/apt,3,1,2,365,TRUE,5,5
4955,80%,TRUE,Private room in rental unit,N/A,4,5,362,5,5,1,180.00,Barra da Tijuca,Private room,2,2,3,90,TRUE,5,5
4956,100%,TRUE,Entire condo,N/A,1,1,365,1,1,1,1000.00,Leme,Entire home/apt,2,NA,2,5,TRUE,1,1
4957,100%,TRUE,Private room in rental unit,within an hour,1,5,365,5,5,1,209.00,Copacabana,Private room,1,1,1,365,TRUE,5,5
4958,76%,FALSE,Entire serviced apartment,within an hour,22,4.73,90,4.95,4.64,1,400.00,Barra da Tijuca,Entire home/apt,2,1,1,1125,TRUE,4.64,4.64
4959,100%,FALSE,Entire rental unit,within an hour,19,5,72,4.89,4.95,2,191.00,Laranjeiras,Entire home/apt,5,2,3,30,TRUE,4.95,4.95
4960,88%,TRUE,Room in hotel,within a few hours,0,4.73,365,4.86,4.68,1,557.00,Santa Teresa,Private room,2,2,2,999,TRUE,4.68,4.68
4961,100%,TRUE,Entire rental unit,within an hour,0,4.73,365,4.86,4.68,2,421.00,Barra da Tijuca,Entire home/apt,4,1,20,365,TRUE,4.68,4.68
4962,100%,TRUE,Private room in home,within an hour,1,4,35,3,2,1,85.00,Botafogo,Private room,2,1,2,365,TRUE,2,2
4963,100%,TRUE,Entire condo,within an hour,1,5,154,5,5,2.5,465.00,Jacarepaguá,Entire home/apt,6,6,3,45,TRUE,5,5
4964,88%,TRUE,Room in hotel,within a few hours,0,4.73,365,4.86,4.68,1,571.00,Santa Teresa,Private room,2,1,2,999,TRUE,4.68,4.68
4965,84%,TRUE,Entire condo,within a few hours,4,4,364,4.25,3.75,1,560.00,Barra da Tijuca,Entire home/apt,6,1,2,1125,TRUE,3.75,3.75
4966,41%,TRUE,Entire rental unit,within a day,10,4.7,179,4.9,4.7,1,314.00,Humaitá,Entire home/apt,3,2,2,1125,TRUE,4.7,4.7
4967,N/A,TRUE,Entire rental unit,N/A,0,4.73,364,4.86,4.68,1,1000.00,Jacarepaguá,Entire home/apt,5,3,7,1125,TRUE,4.68,4.68
4968,97%,TRUE,Entire condo,within an hour,9,4.89,72,4.56,4.89,3,1047.00,Copacabana,Entire home/apt,10,7,4,1125,TRUE,4.89,4.89
4969,100%,TRUE,Entire rental unit,within an hour,24,4.88,278,4.96,4.83,2.5,610.00,Leme,Entire home/apt,6,3,5,30,TRUE,4.83,4.83
4970,100%,TRUE,Entire rental unit,within a day,5,4.6,177,4.6,4.4,2,152.00,Jacarepaguá,Entire home/apt,2,2,5,90,TRUE,4.4,4.4
4971,67%,FALSE,Entire rental unit,within an hour,1,4,195,5,4,1,444.00,Humaitá,Entire home/apt,3,2,3,1125,TRUE,4,4
4972,100%,TRUE,Private room in rental unit,N/A,7,4.8,363,4.2,5,1,257.00,Jacarepaguá,Private room,1,1,2,1125,TRUE,5,5
4973,100%,TRUE,Entire home,within a day,17,4.76,0,4.82,4.71,3,510.00,Barra da Tijuca,Entire home/apt,8,4,2,1125,TRUE,4.71,4.71
4974,43%,TRUE,Entire rental unit,within an hour,0,4.73,108,4.86,4.68,1,340.00,Copacabana,Entire home/apt,4,1,28,90,TRUE,4.68,4.68
4975,100%,FALSE,Entire rental unit,within a few hours,0,4.73,365,4.86,4.68,1,250.00,Botafogo,Entire home/apt,3,3,1,365,TRUE,4.68,4.68
4976,100%,TRUE,Entire rental unit,within an hour,87,4.97,165,4.94,4.87,1,160.00,Copacabana,Entire home/apt,3,2,1,1125,TRUE,4.87,4.87
4977,92%,TRUE,Entire rental unit,within an hour,4,5,58,5,4.75,6.5,1882.00,Ipanema,Entire home/apt,8,5,3,1125,TRUE,4.75,4.75
4978,17%,TRUE,Entire condo,within a few hours,18,4.44,0,4.89,4.5,1.5,200.00,Barra da Tijuca,Entire home/apt,4,2,1,1125,TRUE,4.5,4.5
4979,75%,TRUE,Entire condo,N/A,17,4.94,92,4.82,4.65,2,400.00,Copacabana,Entire home/apt,3,4,5,30,TRUE,4.65,4.65
4980,N/A,FALSE,Entire rental unit,N/A,0,4.73,365,4.86,4.68,2,2200.00,Lagoa,Entire home/apt,6,4,1,7,TRUE,4.68,4.68
4981,99%,TRUE,Entire rental unit,within an hour,29,5,361,4.93,4.69,2,542.00,Leblon,Entire home/apt,4,3,2,365,TRUE,4.69,4.69
